rodada,time,pontos
1,"3M F.",0.00
1,"amigos do maraca",80.87
1,"Baldexx FC",67.15
1,"Cambridge United Fcc",93.27
1,Canabisativa50,80.15
1,"Careca Master FC",73.05
1,"Chama no como e que chama",64.06
1,"Club Atlético Não Para",85.65
1,"CoelhoLoko F.C",90.86
1,COELHOLOKOFEST,76.06
1,"Couto Azarão",81.67
1,"De Quebrada10 FC",62.15
1,"E.C TuaMãe",73.26
1,HEXEN,58.56
1,"Iron Jegue FC",59.59
1,"JHN JAMAICA 2018",41.85
1,JNBTeam,86.96
1,"L.A.R.1 Club",53.27
1,LFBoleiros,47.86
1,"Mais um ano sem título FC",78.75
1,Miister'Rei!,67.47
1,"PANKADA FC",94.35
1,"Paulinho dj",71.65
1,"RAMB006 FC",70.35
1,"ramos lm fc",66.65
1,"SEM EXPECTATIVAS F.C.",94.16
1,"SOCANDO A BUXA F.C",39.75
1,"SP - TIME GRANDE NÃO CAI",52.15
1,"Sub-100 FC",56.47
1,"Turquissimo FC",60.85
1,Ultiminho,79.95
1,Waysys,63.46
2,"3M F.",87.08
2,"amigos do maraca",95.39
2,"Baldexx FC",76.18
2,"Cambridge United Fcc",80.80
2,Canabisativa50,99.49
2,"Careca Master FC",74.45
2,"Chama no como e que chama",83.08
2,"Club Atlético Não Para",73.18
2,"CoelhoLoko F.C",99.08
2,COELHOLOKOFEST,105.49
2,"Couto Azarão",60.54
2,"De Quebrada10 FC",74.98
2,"E.C TuaMãe",78.58
2,HEXEN,32.35
2,"Iron Jegue FC",130.86
2,"JHN JAMAICA 2018",103.19
2,JNBTeam,112.78
2,"L.A.R.1 Club",93.64
2,LFBoleiros,106.88
2,"Mais um ano sem título FC",90.78
2,Miister'Rei!,77.05
2,"PANKADA FC",80.48
2,"Paulinho dj",94.38
2,"RAMB006 FC",96.78
2,"ramos lm fc",58.20
2,"SEM EXPECTATIVAS F.C.",68.38
2,"SOCANDO A BUXA F.C",70.98
2,"SP - TIME GRANDE NÃO CAI",61.09
2,"Sub-100 FC",87.69
2,"Turquissimo FC",86.28
2,Ultiminho,75.68
2,Waysys,86.48
3,"3M F.",66.42
3,"amigos do maraca",111.99
3,"Baldexx FC",66.09
3,"Cambridge United Fcc",70.59
3,Canabisativa50,85.09
3,"Careca Master FC",15.55
3,"Chama no como e que chama",100.32
3,"Club Atlético Não Para",83.92
3,"CoelhoLoko F.C",94.29
3,COELHOLOKOFEST,63.39
3,"Couto Azarão",63.15
3,"De Quebrada10 FC",56.20
3,"E.C TuaMãe",79.80
3,HEXEN,54.82
3,"Iron Jegue FC",60.54
3,"JHN JAMAICA 2018",61.02
3,JNBTeam,89.89
3,"L.A.R.1 Club",19.72
3,LFBoleiros,104.92
3,"Mais um ano sem título FC",102.39
3,Miister'Rei!,84.89
3,"PANKADA FC",88.79
3,"Paulinho dj",52.19
3,"RAMB006 FC",93.19
3,"ramos lm fc",33.85
3,"SEM EXPECTATIVAS F.C.",78.79
3,"SOCANDO A BUXA F.C",66.69
3,"SP - TIME GRANDE NÃO CAI",56.12
3,"Sub-100 FC",77.89
3,"Turquissimo FC",70.89
3,Ultiminho,78.89
3,Waysys,74.59
4,"3M F.",86.40
4,"amigos do maraca",60.86
4,"Baldexx FC",121.56
4,"Cambridge United Fcc",44.24
4,Canabisativa50,88.76
4,"Careca Master FC",82.17
4,"Chama no como e que chama",47.47
4,"Club Atlético Não Para",81.82
4,"CoelhoLoko F.C",34.22
4,COELHOLOKOFEST,79.62
4,"Couto Azarão",43.62
4,"De Quebrada10 FC",40.82
4,"E.C TuaMãe",74.72
4,HEXEN,60.02
4,"Iron Jegue FC",27.82
4,"JHN JAMAICA 2018",75.90
4,JNBTeam,63.92
4,"L.A.R.1 Club",23.33
4,LFBoleiros,51.02
4,"Mais um ano sem título FC",67.72
4,Miister'Rei!,79.26
4,"PANKADA FC",98.56
4,"Paulinho dj",40.20
4,"RAMB006 FC",75.52
4,"ramos lm fc",37.99
4,"SEM EXPECTATIVAS F.C.",65.62
4,"SOCANDO A BUXA F.C",84.72
4,"SP - TIME GRANDE NÃO CAI",31.84
4,"Sub-100 FC",58.02
4,"Turquissimo FC",81.82
4,Ultiminho,51.67
4,Waysys,45.12
5,"3M F.",95.73
5,"amigos do maraca",122.96
5,"Baldexx FC",106.26
5,"Cambridge United Fcc",77.62
5,Canabisativa50,96.12
5,"Careca Master FC",109.53
5,"Chama no como e que chama",111.23
5,"Club Atlético Não Para",96.62
5,"CoelhoLoko F.C",110.67
5,COELHOLOKOFEST,141.62
5,"Couto Azarão",88.13
5,"De Quebrada10 FC",72.04
5,"E.C TuaMãe",96.92
5,HEXEN,55.57
5,"Iron Jegue FC",60.06
5,"JHN JAMAICA 2018",111.62
5,JNBTeam,118.82
5,"L.A.R.1 Club",67.63
5,LFBoleiros,104.62
5,"Mais um ano sem título FC",128.86
5,Miister'Rei!,111.66
5,"PANKADA FC",115.62
5,"Paulinho dj",100.82
5,"RAMB006 FC",103.94
5,"ramos lm fc",57.57
5,"SEM EXPECTATIVAS F.C.",95.98
5,"SOCANDO A BUXA F.C",97.53
5,"SP - TIME GRANDE NÃO CAI",67.90
5,"Sub-100 FC",96.46
5,"Turquissimo FC",97.12
5,Ultiminho,109.42
5,Waysys,84.93
6,"3M F.",23.69
6,"amigos do maraca",83.02
6,"Baldexx FC",86.78
6,"Cambridge United Fcc",81.64
6,Canabisativa50,93.12
6,"Careca Master FC",74.28
6,"Chama no como e que chama",68.88
6,"Club Atlético Não Para",99.73
6,"CoelhoLoko F.C",65.42
6,COELHOLOKOFEST,89.32
6,"Couto Azarão",71.13
6,"De Quebrada10 FC",77.97
6,"E.C TuaMãe",78.33
6,HEXEN,47.92
6,"Iron Jegue FC",51.23
6,"JHN JAMAICA 2018",82.82
6,JNBTeam,80.62
6,"L.A.R.1 Club",58.49
6,LFBoleiros,77.83
6,"Mais um ano sem título FC",71.12
6,Miister'Rei!,87.63
6,"PANKADA FC",71.68
6,"Paulinho dj",110.12
6,"RAMB006 FC",102.12
6,"ramos lm fc",71.43
6,"SEM EXPECTATIVAS F.C.",66.13
6,"SOCANDO A BUXA F.C",99.63
6,"SP - TIME GRANDE NÃO CAI",40.40
6,"Sub-100 FC",88.13
6,"Turquissimo FC",60.02
6,Ultiminho,70.12
6,Waysys,77.43
7,"3M F.",85.63
7,"amigos do maraca",72.56
7,"Baldexx FC",78.16
7,"Cambridge United Fcc",63.66
7,Canabisativa50,54.66
7,"Careca Master FC",72.50
7,"Chama no como e que chama",56.67
7,"Club Atlético Não Para",90.76
7,"CoelhoLoko F.C",84.36
7,COELHOLOKOFEST,88.46
7,"Couto Azarão",42.46
7,"De Quebrada10 FC",61.36
7,"E.C TuaMãe",74.26
7,HEXEN,43.49
7,"Iron Jegue FC",48.59
7,"JHN JAMAICA 2018",50.66
7,JNBTeam,81.36
7,"L.A.R.1 Club",51.33
7,LFBoleiros,93.64
7,"Mais um ano sem título FC",75.56
7,Miister'Rei!,77.36
7,"PANKADA FC",74.76
7,"Paulinho dj",78.46
7,"RAMB006 FC",53.06
